date,time,water_level_HOBO
8/8/2022,0:00,18.026
8/8/2022,0:08,18.743
8/8/2022,0:16,19.341
8/8/2022,0:24,19.951
8/8/2022,0:32,20.496
8/8/2022,0:40,21.002
8/8/2022,0:48,21.51
8/8/2022,0:56,21.984
8/8/2022,1:04,22.467
8/8/2022,1:12,22.952
8/8/2022,1:20,23.394
8/8/2022,1:28,23.833
8/8/2022,1:36,24.285
8/8/2022,1:44,24.693
8/8/2022,1:52,25.154
8/8/2022,2:00,25.586
8/8/2022,2:08,25.967
8/8/2022,2:16,26.349
8/8/2022,2:24,26.632
8/8/2022,2:32,26.895
8/8/2022,2:40,27.085
8/8/2022,2:48,27.267
8/8/2022,2:56,27.373
8/8/2022,3:04,27.394
8/8/2022,3:12,27.395
8/8/2022,3:20,27.346
8/8/2022,3:28,27.199
8/8/2022,3:36,26.969
8/8/2022,3:44,26.719
8/8/2022,3:52,26.394
8/8/2022,4:00,25.951
8/8/2022,4:08,25.447
8/8/2022,4:16,24.941
8/8/2022,4:24,24.373
8/8/2022,4:32,23.708
8/8/2022,4:40,23.035
8/8/2022,4:48,22.329
8/8/2022,4:56,21.591
8/8/2022,5:04,20.855
8/8/2022,5:12,20.096
8/8/2022,5:20,19.338
8/8/2022,5:28,18.549
8/8/2022,5:36,17.77
8/8/2022,5:44,17.004
8/8/2022,5:52,16.257
8/8/2022,6:00,15.521
8/8/2022,6:08,14.804
8/8/2022,6:16,14.086
8/8/2022,6:24,13.403
8/8/2022,6:32,12.77
8/8/2022,6:40,12.147
8/8/2022,6:48,11.526
8/8/2022,6:56,10.969
8/8/2022,7:04,10.376
8/8/2022,7:12,9.782
8/8/2022,7:20,9.282
8/8/2022,7:28,8.687
8/8/2022,7:36,8.14
8/8/2022,7:44,7.622
8/8/2022,7:52,7.061
8/8/2022,8:00,6.481
8/8/2022,8:08,5.923
8/8/2022,8:16,5.398
8/8/2022,8:24,4.849
8/8/2022,8:32,4.286
8/8/2022,8:40,3.867
8/8/2022,8:48,3.4
8/8/2022,8:56,2.798
8/8/2022,9:04,2.314
8/8/2022,9:12,1.899
8/8/2022,9:20,1.501
8/8/2022,9:28,1.08
8/8/2022,9:36,0.62
8/8/2022,9:44,0.402
8/8/2022,9:52,0.19
8/8/2022,10:00,0.197
8/8/2022,10:08,0.196
8/8/2022,10:16,0.189
8/8/2022,10:24,0.2
8/8/2022,10:32,0.225
8/8/2022,10:40,0.248
8/8/2022,10:48,0.26
8/8/2022,10:56,0.261
8/8/2022,11:04,0.25
8/8/2022,11:12,0.26
