date,time,water_level_NOAA,
7/14/2022,7:00,32.35,
7/14/2022,14:36,-4.25,
7/14/2022,20:18,30.42,
7/15/2022,2:30,2.79,
7/15/2022,7:54,32.31,
7/15/2022,15:24,-3.89,
7/15/2022,21:06,31.46,
7/16/2022,3:24,2.71,
7/16/2022,8:42,32.01,
7/16/2022,16:06,-3.58,
7/16/2022,21:54,30.93,
7/17/2022,4:12,2.18,
7/17/2022,9:36,30.87,
7/17/2022,16:48,-2.29,
7/17/2022,22:36,31.18,
7/18/2022,5:06,2.84,
7/18/2022,10:24,29.3,
7/18/2022,17:24,-0.95,
7/18/2022,23:18,30.45,
7/19/2022,5:54,3.11,
7/19/2022,11:18,27.62,
7/19/2022,18:00,1.22,
7/19/2022,23:54,29.26,
7/20/2022,6:48,2.52,
7/20/2022,12:18,25.48,
7/20/2022,18:42,4.18,
7/21/2022,0:42,28.26,
7/21/2022,7:48,2.71,
7/21/2022,13:30,24.36,
7/21/2022,19:36,6.73,
7/22/2022,1:30,26.88,
7/22/2022,8:48,2.8,
7/22/2022,15:00,23.95,
7/22/2022,20:48,8.92,
7/23/2022,2:36,25.74,
7/23/2022,10:00,1.66,
7/23/2022,16:12,24.19,
7/23/2022,22:06,8.81,
7/24/2022,3:36,25.53,
7/24/2022,11:00,0.85,
7/24/2022,17:18,25.57,
7/24/2022,23:12,8.55,
7/25/2022,4:36,26.27,
7/25/2022,11:54,0.12,
7/25/2022,18:06,26.95,
7/26/2022,0:06,8.46,
7/26/2022,5:24,27,
7/26/2022,12:42,-0.77,
7/26/2022,18:42,26.72,
7/27/2022,0:42,6.05,
7/27/2022,6:06,27.34,
7/27/2022,13:24,-1.92,
7/27/2022,19:18,27.37,
7/28/2022,1:24,5.23,
7/28/2022,6:42,27.9,
7/28/2022,14:00,-2.14,
7/28/2022,19:54,27.83,
7/29/2022,2:00,4.65,
7/29/2022,7:18,28.49,
7/29/2022,14:30,-2.14,
7/29/2022,20:24,28.24,
7/30/2022,2:30,4.13,
7/30/2022,7:54,28.79,
7/30/2022,15:06,-2.06,
7/30/2022,20:54,28.49,
7/31/2022,3:06,3.61,
7/31/2022,8:30,28.61,
7/31/2022,15:36,-1.97,
7/31/2022,21:24,28.44,
8/1/2022,3:42,3.02,
8/1/2022,9:06,28.19,
8/1/2022,16:06,-1.1,
8/1/2022,21:54,28.53,
8/2/2022,4:18,2.7,
8/2/2022,9:48,27.32,
8/2/2022,16:36,-0.33,
8/2/2022,22:24,28.2,
8/3/2022,5:06,2.2,
8/3/2022,10:30,26.37,
8/3/2022,17:06,0.99,
8/3/2022,23:00,28.26,
8/4/2022,5:48,2.21,
8/4/2022,11:18,25.41,
8/4/2022,17:42,3.2,
8/4/2022,23:36,28.2,
8/5/2022,6:42,2.42,
8/5/2022,12:24,25.23,
8/5/2022,18:30,6.25,
8/6/2022,0:24,27.66,
8/6/2022,7:48,1.97,
8/6/2022,13:42,24.55,
8/6/2022,19:42,7.22,
8/7/2022,1:30,26.91,
8/7/2022,9:00,0.28,
8/7/2022,15:18,25.24,
8/7/2022,21:00,9.03,
8/8/2022,2:42,27.72,
8/8/2022,10:18,-0.38,
8/8/2022,16:30,26.28,
8/8/2022,22:24,7.64,
8/9/2022,4:00,28.49,
8/9/2022,11:36,-1.99,
8/9/2022,17:36,27.47,
8/9/2022,23:42,5.26,
8/10/2022,5:06,29.36,
8/10/2022,12:42,-3.72,
8/10/2022,18:30,28.81,
8/11/2022,0:42,3.68,
8/11/2022,6:06,30.79,
8/11/2022,13:36,-4.37,
8/11/2022,19:18,29.51,
8/12/2022,1:36,2.04,
8/12/2022,6:54,31.53,
8/12/2022,14:18,-4.28,
8/12/2022,20:06,30.91,
8/13/2022,2:24,1.08,
8/13/2022,7:48,32.26,
8/13/2022,15:06,-3.61,
8/13/2022,20:42,31.66,
8/14/2022,3:12,0.38,
8/14/2022,8:36,31.92,
8/14/2022,15:42,-3.07,
8/14/2022,21:18,31.8,
8/15/2022,3:54,0.09,
8/15/2022,9:24,30.82,
8/15/2022,16:18,-2.14,
8/15/2022,21:54,31.38,
8/16/2022,4:36,0.18,
8/16/2022,10:06,29.32,
8/16/2022,16:48,-0.21,
8/16/2022,22:30,30.57,
8/17/2022,5:18,1.13,
8/17/2022,10:48,28.1,
8/17/2022,17:18,2.99,
8/17/2022,23:00,29.94,
8/18/2022,6:06,1.89,
8/18/2022,11:42,25.53,
8/18/2022,17:48,5.22,
8/18/2022,23:42,27.22,
8/19/2022,6:48,2.23,
8/19/2022,12:48,23.55,
8/19/2022,18:36,8.46,
8/20/2022,0:36,25.41,
8/20/2022,7:54,3.09,
8/20/2022,14:18,23.07,
8/20/2022,20:06,10.72,
8/21/2022,1:48,23.82,
8/21/2022,9:06,3.28,
8/21/2022,15:54,23.73,
8/21/2022,21:42,10.6,
8/22/2022,3:12,23.62,
8/22/2022,10:24,2.5,
8/22/2022,16:54,24.65,
8/22/2022,22:54,9.49,
8/23/2022,4:12,24.61,
8/23/2022,11:24,0.87,
8/23/2022,17:42,25.87,
8/23/2022,23:42,7.52,
8/24/2022,5:06,25.92,
8/24/2022,12:18,-0.33,
8/24/2022,18:18,27.07,
8/25/2022,0:30,6,
8/25/2022,5:54,27.39,
8/25/2022,13:00,-0.81,
8/25/2022,18:54,27.99,
8/26/2022,1:06,4.66,
8/26/2022,6:30,28.59,
8/26/2022,13:36,-1.43,
8/26/2022,19:24,28.94,
8/27/2022,1:42,3.59,
8/27/2022,7:06,29.44,
8/27/2022,14:12,-1.59,
8/27/2022,19:54,29.56,
8/28/2022,2:12,2.42,
8/28/2022,7:42,30.05,
8/28/2022,14:42,-1.22,
8/28/2022,20:18,30.02,
8/29/2022,2:48,1.8,
8/29/2022,8:18,30.13,
8/29/2022,15:12,-0.85,
8/29/2022,20:48,30.35,
8/30/2022,3:24,1.11,
8/30/2022,8:54,29.64,
