date,time,water_level_HOBO,water_level_NOAA
8/8/2022,0:00,18.026,21.02
8/8/2022,0:24,19.951,22.54
8/8/2022,0:48,21.51,23.87
8/8/2022,1:12,22.952,25.14
8/8/2022,1:36,24.285,26.26
8/8/2022,2:00,25.586,27.07
8/8/2022,2:24,26.632,27.62
8/8/2022,2:48,27.267,27.7
8/8/2022,3:12,27.395,27.34
8/8/2022,3:36,26.969,26.57
8/8/2022,4:00,25.951,25.42
8/8/2022,4:24,24.373,23.9
8/8/2022,4:48,22.329,22.07
8/8/2022,5:12,20.096,19.99
8/8/2022,5:36,17.77,17.93
8/8/2022,6:00,15.521,15.97
8/8/2022,6:24,13.403,14.12
8/8/2022,6:48,11.526,12.34
8/8/2022,7:12,9.782,10.61
8/8/2022,7:36,8.14,8.91
8/8/2022,8:00,6.481,7.21
8/8/2022,8:24,4.849,5.51
8/8/2022,8:48,3.4,3.91
8/8/2022,9:12,1.899,2.42
8/8/2022,9:36,0.62,1.02
8/8/2022,10:00,0.197,0.01
8/8/2022,10:24,0.2,-0.36
8/8/2022,10:48,0.26,0.64
8/8/2022,11:12,0.26,3.29
8/8/2022,11:36,0.974,6.32
8/8/2022,12:00,5.612,9.07
8/8/2022,12:24,8.706,11.68
8/8/2022,12:48,11.204,14.11
8/8/2022,13:12,13.156,16.23
8/8/2022,13:36,15.328,18.06
8/8/2022,14:00,17.265,19.91
8/8/2022,14:24,19.102,21.53
8/8/2022,14:48,20.712,22.93
8/8/2022,15:12,22.109,24.19
8/8/2022,15:36,23.349,25.23
8/8/2022,16:00,24.497,25.94
8/8/2022,16:24,25.318,26.28
8/8/2022,16:48,25.674,26.15
8/8/2022,17:12,25.559,25.61
8/8/2022,17:36,25.035,24.77
8/8/2022,18:00,23.949,23.62
8/8/2022,18:24,22.267,22.08
8/8/2022,18:48,20.185,20.27
8/8/2022,19:12,18.02,18.32
8/8/2022,19:36,15.849,16.44
8/8/2022,20:00,13.851,14.72
8/8/2022,20:24,12.072,13.12
8/8/2022,20:48,10.389,11.64
8/8/2022,21:12,9.028,10.25
8/8/2022,21:36,7.615,9.04
8/8/2022,22:00,6.477,8.09
8/8/2022,22:24,5.421,7.64
8/8/2022,22:48,4.898,8.1
8/8/2022,23:12,5.2,9.78
8/8/2022,23:36,7.246,12.03
8/9/2022,0:00,10.25,14.32
8/9/2022,0:24,12.894,16.56
8/9/2022,0:48,15.439,18.65
8/9/2022,1:12,17.755,20.74
8/9/2022,1:36,19.844,22.38
8/9/2022,2:00,21.612,23.93
8/9/2022,2:24,23.208,25.34
8/9/2022,2:48,24.628,26.57
8/9/2022,3:12,25.998,27.52
8/9/2022,3:36,27.238,28.23
8/9/2022,4:00,27.982,28.49
8/9/2022,4:24,28.196,28.17
8/9/2022,4:48,27.716,27.29
8/9/2022,5:12,26.635,25.98
8/9/2022,5:36,24.999,24.35
8/9/2022,6:00,22.926,22.44
8/9/2022,6:24,20.647,20.29
8/9/2022,6:48,18.236,18.19
8/9/2022,7:12,15.89,16.09
8/9/2022,7:36,13.634,14.12
8/9/2022,8:00,11.631,12.2
8/9/2022,8:24,9.796,10.42
8/9/2022,8:48,7.926,8.61
8/9/2022,9:12,6.491,6.85
