date_hobo,time_hobo,water_level_hobo,date_noaa,time_noaa,water_level_noaa,diff_time,diff_level
7/14/2022,7:20,32.467,7/14/2022,7:00,32.35,0:20,0.117
7/14/2022,20:40,30.606,7/14/2022,20:18,30.42,0:22,0.186
7/15/2022,8:16,32.683,7/15/2022,7:54,32.31,0:22,0.373
7/15/2022,21:20,31.688,7/15/2022,21:06,31.46,0:14,0.228
7/16/2022,8:56,32.245,7/16/2022,8:42,32.01,0:14,0.235
7/16/2022,22:08,31.131,7/16/2022,21:54,30.93,0:14,0.201
7/17/2022,9:52,31.129,7/17/2022,9:36,30.87,0:16,0.259
7/17/2022,22:48,31.348,7/17/2022,22:36,31.18,0:12,0.168
7/18/2022,10:48,29.373,7/18/2022,10:24,29.3,0:24,0.073
7/18/2022,23:28,30.446,7/18/2022,23:18,30.45,0:10,-0.004
7/19/2022,11:44,27.367,7/19/2022,11:18,27.62,0:26,-0.253
7/20/2022,0:16,29.036,7/19/2022,23:54,29.26,0:22,-0.224
7/20/2022,12:40,24.949,7/20/2022,12:18,25.48,0:22,-0.531
7/21/2022,1:04,27.98,7/21/2022,0:42,28.26,0:22,-0.28
7/21/2022,14:00,23.701,7/21/2022,13:30,24.36,0:30,-0.659
7/22/2022,1:52,26.245,7/22/2022,1:30,26.88,0:22,-0.635
7/22/2022,15:36,23.245,7/22/2022,15:00,23.95,0:36,-0.705
7/23/2022,2:56,24.987,7/23/2022,2:36,25.74,0:20,-0.753
7/23/2022,16:40,23.582,7/23/2022,16:12,24.19,0:28,-0.608
7/24/2022,4:00,24.797,7/24/2022,3:36,25.53,0:24,-0.733
7/24/2022,17:44,25.019,7/24/2022,17:18,25.57,0:26,-0.551
7/25/2022,4:56,25.644,7/25/2022,4:36,26.27,0:20,-0.626
7/25/2022,18:32,26.424,7/25/2022,18:06,26.95,0:26,-0.526
7/26/2022,5:52,26.995,7/26/2022,5:24,27,0:28,-0.005
7/26/2022,18:48,26.353,7/26/2022,18:42,26.72,0:06,-0.367
7/27/2022,6:32,27.244,7/27/2022,6:06,27.34,0:26,-0.096
7/27/2022,19:36,27.407,7/27/2022,19:18,27.37,0:18,0.037
7/28/2022,7:04,27.922,7/28/2022,6:42,27.9,0:22,0.022
7/28/2022,20:08,27.551,7/28/2022,19:54,27.83,0:14,-0.279
7/29/2022,7:36,28.621,7/29/2022,7:18,28.49,0:18,0.131
7/29/2022,20:48,27.993,7/29/2022,20:24,28.24,0:24,-0.247
7/30/2022,8:16,28.681,7/30/2022,7:54,28.79,0:22,-0.109
7/30/2022,21:12,28.306,7/30/2022,20:54,28.49,0:18,-0.184
7/31/2022,8:56,28.642,7/31/2022,8:30,28.61,0:26,0.032
7/31/2022,21:44,28.219,7/31/2022,21:24,28.44,0:20,-0.221
8/1/2022,9:36,28.123,8/1/2022,9:06,28.19,0:30,-0.067
8/1/2022,22:16,28.374,8/1/2022,21:54,28.53,0:22,-0.156
8/2/2022,10:08,27.211,8/2/2022,9:48,27.32,0:20,-0.109
