date_hobo,time_hobo,water_level_hobo,date_noaa,time_noaa,water_level_noaa,diff_time,diff_level,,,,
7/21/2022,8:32,0.194,7/21/2022,7:48,2.71,0:44,-2.516,,,,
7/21/2022,20:00,3.829,7/21/2022,19:36,6.73,0:24,-2.901,,,,
7/22/2022,9:28,0.068,7/22/2022,8:48,2.8,0:40,-2.732,,,,
7/22/2022,21:20,6.358,7/22/2022,20:48,8.92,0:32,-2.562,,,,
7/23/2022,10:56,0.179,7/23/2022,10:00,1.66,0:56,-1.481,,,,
7/23/2022,22:32,5.996,7/23/2022,22:06,8.81,0:26,-2.814,,,,
8/5/2022,19:04,3.572,8/5/2022,18:30,6.25,0:34,-2.678,,,,
8/6/2022,8:16,0.2,8/6/2022,7:48,1.97,0:28,-1.77,,,,
8/6/2022,20:00,4.362,8/6/2022,19:42,7.22,0:18,-2.858,,,,
8/8/2022,22:56,4.797,8/8/2022,22:24,7.64,0:32,-2.843,,,,
8/18/2022,18:16,2.18,8/18/2022,17:48,5.22,0:28,-3.04,,,,
8/19/2022,19:04,5.582,8/19/2022,18:36,8.46,0:28,-2.878,,,,
8/21/2022,9:44,0.798,8/21/2022,9:06,3.28,0:38,-2.482,,,,
8/21/2022,22:08,7.871,8/21/2022,21:42,10.6,0:26,-2.729,,,,
8/22/2022,10:40,0.258,8/22/2022,10:24,2.5,0:16,-2.242,,,,
8/22/2022,23:12,6.749,8/22/2022,22:54,9.49,0:18,-2.741,,,,
9/2/2022,17:52,2.3,9/2/2022,17:06,5.11,0:46,-2.81,,,,
9/3/2022,18:24,4.441,9/3/2022,17:54,7.63,0:30,-3.189,,,,
9/4/2022,19:44,6.613,9/4/2022,19:12,9.48,0:32,-2.867,,,,
9/5/2022,21:28,6.253,9/5/2022,21:00,9.22,0:28,-2.967,,,,
9/6/2022,22:56,4.41,9/6/2022,22:30,7.57,0:26,-3.16,,,,
