date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
9/8/2022,11:05,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:06,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:07,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:08,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:09,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:10,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:11,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:12,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:13,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:14,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:15,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:16,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:17,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:18,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:19,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:20,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:21,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:22,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:23,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:24,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:25,21,S,Ebb,1,1,2,2,0,0,no,Mill,
9/8/2022,11:26,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:27,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:28,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:29,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:30,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:31,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:32,21,S,Ebb,1,1,3,2,0,1,yes,Mill,whales at river mouth
9/8/2022,11:33,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:34,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:35,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:36,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:37,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:38,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:39,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:40,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:41,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:42,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:43,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:44,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:45,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:46,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:47,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:48,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:49,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:50,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:51,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:52,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:53,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:54,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:55,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:56,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:57,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:58,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,11:59,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,12:00,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,12:01,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
9/8/2022,12:02,21,S,Ebb,1,1,3,2,0,1,yes,Mill,
