date,time,encounter,behavior,call_type,call_category,minute,behav_s,difftime_s,behav_next,difftime_next
9/17/2021,10H 45M 0S,3,Travel,NA,NA,1,1,0,18,-17
9/17/2021,10H 46M 0S,3,Travel,NA,NA,2,1,1,18,-16
9/17/2021,10H 47M 0S,3,Travel,NA,NA,3,1,2,18,-15
9/17/2021,10H 48M 0S,3,Travel,NA,NA,4,1,3,18,-14
9/17/2021,10H 49M 0S,3,Travel,NA,NA,5,1,4,18,-13
9/17/2021,10H 50M 0S,3,Travel,pulse.flat,pc,6,1,5,18,-12
9/17/2021,10H 50M 0S,3,Travel,pulse.flat.seg,pc,6,1,5,18,-12
9/17/2021,10H 50M 0S,3,Travel,pulse.flat.seg,pc,6,1,5,18,-12
9/17/2021,10H 50M 0S,3,Travel,pulse.flat,pc,6,1,5,18,-12
9/17/2021,10H 51M 0S,3,Travel,flatws,ws,7,1,6,18,-11
9/17/2021,10H 51M 0S,3,Travel,flatws,ws,7,1,6,18,-11
9/17/2021,10H 51M 0S,3,Travel,flatws.seg,ws,7,1,6,18,-11
9/17/2021,10H 51M 0S,3,Travel,pulse.flat.seg,pc,7,1,6,18,-11
9/17/2021,10H 51M 0S,3,Travel,pulse.flat,pc,7,1,6,18,-11
9/17/2021,10H 52M 0S,3,Travel,pulse.flat,pc,8,1,7,18,-10
9/17/2021,10H 52M 0S,3,Travel,dws,ws,8,1,7,18,-10
9/17/2021,10H 52M 0S,3,Travel,pulse.flat,pc,8,1,7,18,-10
9/17/2021,10H 52M 0S,3,Travel,pulse.flat,pc,8,1,7,18,-10
9/17/2021,10H 52M 0S,3,Travel,pulse.flat,pc,8,1,7,18,-10
9/17/2021,10H 52M 0S,3,Travel,pulse.flat.seg,pc,8,1,7,18,-10
9/17/2021,10H 52M 0S,3,Travel,pulse.flat,pc,8,1,7,18,-10
9/17/2021,10H 52M 0S,3,Travel,pulse.flat.seg,pc,8,1,7,18,-10
9/17/2021,10H 53M 0S,3,Travel,flatws,ws,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,flatws,ws,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,flatws,ws,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,modws,ws,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,pulse.flat,pc,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,pulse.flat,pc,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,pulse.flat,pc,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,flatws,ws,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,dws,ws,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,pulse.flat,pc,9,1,8,18,-9
9/17/2021,10H 53M 0S,3,Travel,pulse.flat,pc,9,1,8,18,-9
9/17/2021,10H 54M 0S,3,Travel,flatws,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,flatws.seg,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,flatws.seg,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat.seg,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,flatws,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,dws,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,flatws,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,flatws,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,flatws,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,flatws,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,flatws,ws,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat.seg,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat.seg,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat.seg,pc,10,1,9,18,-8
9/17/2021,10H 54M 0S,3,Travel,pulse.flat,pc,10,1,9,18,-8
9/17/2021,10H 55M 0S,3,Travel,pulse.flat.seg,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,pulse.flat,pc,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,dws,ws,11,1,10,18,-7
9/17/2021,10H 55M 0S,3,Travel,flatws,ws,11,1,10,18,-7
9/17/2021,10H 56M 0S,3,Travel,pulse.d,pc,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,flatws,ws,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,flatws.seg,ws,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,dws,ws,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,pulse.flat,pc,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,pulse.flat.seg,pc,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,pulse.flat,pc,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,flatws,ws,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,flatws,ws,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,dws,ws,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,dws,ws,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,flatws,ws,12,1,11,18,-6
9/17/2021,10H 56M 0S,3,Travel,flatws,ws,12,1,11,18,-6
9/17/2021,10H 57M 0S,3,Travel,flatws,ws,13,1,12,18,-5
9/17/2021,10H 57M 0S,3,Travel,flatws,ws,13,1,12,18,-5
9/17/2021,10H 57M 0S,3,Travel,flatws,ws,13,1,12,18,-5
9/17/2021,10H 57M 0S,3,Travel,flatws,ws,13,1,12,18,-5
9/17/2021,10H 57M 0S,3,Travel,flatws,ws,13,1,12,18,-5
9/17/2021,10H 57M 0S,3,Travel,flatws.seg,ws,13,1,12,18,-5
9/17/2021,10H 57M 0S,3,Travel,flatws,ws,13,1,12,18,-5
9/17/2021,10H 57M 0S,3,Travel,flatws,ws,13,1,12,18,-5
