date,time,encounter,dot,tide,sample_round,group_number,group_size,count_white,count_gray,count_calf,calf_presence ,behavior,comments
10/4/2021,10:45,5,S,Ebb,1,1,17,8,6,3,yes,Travel,Quick travel south past battle point
10/4/2021,10:46,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:47,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:48,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:49,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:50,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:51,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:52,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:53,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:54,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:55,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:56,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:57,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:58,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,10:59,5,S,Ebb,1,1,17,8,6,3,yes,Travel,
10/4/2021,11:00,5,S,Ebb,1,1,17,8,6,3,yes,Travel,"3-4 whales at back of group milling near sandbar, rest out of view"
10/4/2021,11:01,5,S,Ebb,1,1,6,3,2,1,yes,Travel,3-4 whales continueing milling/traveling south near sandbar
10/4/2021,11:02,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:03,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:04,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:05,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:06,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:07,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:08,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:09,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:10,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:11,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:12,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:13,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:14,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:15,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:16,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:17,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:18,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:19,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:20,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:21,5,S,Ebb,1,1,6,3,2,1,yes,Travel,
10/4/2021,11:22,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:23,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:24,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:25,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:26,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:27,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:28,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:29,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:30,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:31,5,S,Ebb,1,1,2,2,0,0,no,Travel,
10/4/2021,11:32,5,S,Ebb,1,1,2,2,0,0,no,Travel,
