selection,date,begin_Time,time,end_Time,low_Freq,high_Freq,call_type,call_category
1,10/6/2021,4783.359774,10:49,4784.434916,3831.193,24000,pulse.flat.seg,pc
2,10/6/2021,4790.767289,10:49,4790.880449,7300.8,24000,pulse.flat,pc
3,10/6/2021,4792.494158,10:49,4792.697614,15690.8,22330.827,aws.seg,ws
4,10/6/2021,4802.495278,10:50,4802.55938,10366.4,11294.1,dws,ws
5,10/6/2021,4803.008097,10:50,4803.077774,10527.7,11536.1,dws,ws
6,10/6/2021,4805.373275,10:50,4805.424604,9600,11374.8,dws,ws
7,10/6/2021,4805.441029,10:50,4805.515101,14400,16537.8,dws,ws
8,10/6/2021,4805.80649,10:50,4806.913139,4033.6,23879,pulse.flat,pc
9,10/6/2021,4806.714724,10:50,4806.881762,8304.498,23003.46,pulse.flat,pc
10,10/6/2021,4808.848861,10:50,4808.962102,9277.3,19361.3,flatws,ws
11,10/6/2021,4809.147932,10:50,4809.862216,9035.3,19522.7,flatws.seg,ws
12,10/6/2021,4888.049394,10:51,4889.051332,3751.3,12342.9,pulse.flat.seg,pc
13,10/6/2021,4901.337893,10:51,4901.718382,3952.9,24000,pulse.flat.seg,pc
14,10/6/2021,4901.519811,10:51,4901.572076,3791.6,8228.6,pulse.n,pc
15,10/6/2021,4901.975774,10:51,4902.130284,3751.3,24000,pulse.d,pc
16,10/6/2021,4902.001268,10:51,4902.134898,3831.193,10788.991,pulse.n,pc
17,10/6/2021,4923.82056,10:52,4923.886261,10043.7,10447.1,dws,ws
18,10/6/2021,4924.711628,10:52,4924.777968,10648.7,10931.1,flatws,ws
19,10/6/2021,4925.716607,10:52,4925.842595,11142.857,11729.323,dws,ws
20,10/6/2021,4929.918826,10:52,4930.630207,9409.326,10984.456,dws.seq,ws
21,10/6/2021,4932.15169,10:52,4933.057611,8953.368,10031.088,dws.seq,ws
22,10/6/2021,4937.243161,10:52,4937.336076,9077.72,10487.047,dws.seq,ws
23,10/6/2021,4937.632243,10:52,4938.651404,10238.342,11854.922,dws.seq,ws
24,10/6/2021,4938.707047,10:52,4940.243049,8538.86,10362.694,modws,ws
25,10/6/2021,4939.936055,10:52,4940.85176,8829.016,11813.472,dws.seq,ws
26,10/6/2021,4940.931464,10:52,4942.168552,7141.869,17979.239,modws,ws
27,10/6/2021,4942.45051,10:52,4943.73992,4020.725,10777.202,modws,ws
28,10/6/2021,4947.660838,10:52,4948.761327,5278.195,12045.113,modws.seg,ws
29,10/6/2021,4953.637729,10:52,4954.61624,9533.679,11278.195,dws.seq,ws
30,10/6/2021,5151.753391,10:55,5153.728523,7170.984,7626.943,flatws.seg,ws
31,10/6/2021,5174.203624,10:56,5175.345176,7170.984,7461.14,flatws,ws
32,10/6/2021,5176.186968,10:56,5177.735044,7170.984,7502.591,flatws,ws
33,10/6/2021,5178.614744,10:56,5180.536494,7253.886,7502.591,flatws,ws
34,10/6/2021,5201.674825,10:56,5201.814023,5786.078,6275.042,dws,ws
35,10/6/2021,5216.176349,10:56,5216.548009,7253.886,7581.227,flatws.seg,ws
36,10/6/2021,5219.794227,10:56,5220.133948,7212.435,7461.14,flatws,ws
37,10/6/2021,5274.443481,10:57,5274.698071,4518.135,18368.231,pulse.mod,pc
38,10/6/2021,5393.329254,10:59,5394.072574,5056.995,12693.141,pulse.d,pc
