date,time,water_level_HOBO
7/14/2022,0:00,8.604
7/14/2022,0:08,7.866
7/14/2022,0:16,7.393
7/14/2022,0:24,6.76
7/14/2022,0:32,6.179
7/14/2022,0:40,5.62
7/14/2022,0:48,5.07
7/14/2022,0:56,4.632
7/14/2022,1:04,3.917
7/14/2022,1:12,3.404
7/14/2022,1:20,3.07
7/14/2022,1:28,2.386
7/14/2022,1:36,2.067
7/14/2022,1:44,1.676
7/14/2022,1:52,1.401
7/14/2022,2:00,1.079
7/14/2022,2:08,0.663
7/14/2022,2:16,0.563
7/14/2022,2:24,0.796
7/14/2022,2:32,1.728
7/14/2022,2:40,3.441
7/14/2022,2:48,5.939
7/14/2022,2:56,8.121
7/14/2022,3:04,9.738
7/14/2022,3:12,11.258
7/14/2022,3:20,12.163
7/14/2022,3:28,12.901
7/14/2022,3:36,13.858
7/14/2022,3:44,14.936
7/14/2022,3:52,16.13
7/14/2022,4:00,16.866
7/14/2022,4:08,18.068
7/14/2022,4:16,19.028
7/14/2022,4:24,19.672
7/14/2022,4:32,20.568
7/14/2022,4:40,21.44
7/14/2022,4:48,22.325
7/14/2022,4:56,23.082
7/14/2022,5:04,23.756
7/14/2022,5:12,24.555
7/14/2022,5:20,25.354
7/14/2022,5:28,25.901
7/14/2022,5:36,26.531
7/14/2022,5:44,27.236
7/14/2022,5:52,27.867
7/14/2022,6:00,28.465
7/14/2022,6:08,29.106
7/14/2022,6:16,29.747
7/14/2022,6:24,30.346
7/14/2022,6:32,30.892
7/14/2022,6:40,31.418
7/14/2022,6:48,31.837
7/14/2022,6:56,32.152
7/14/2022,7:04,32.34
7/14/2022,7:12,32.466
7/14/2022,7:20,32.467
7/14/2022,7:28,32.39
7/14/2022,7:36,32.188
7/14/2022,7:44,31.915
7/14/2022,7:52,31.517
7/14/2022,8:00,31.054
7/14/2022,8:08,30.539
7/14/2022,8:16,29.94
7/14/2022,8:24,29.279
7/14/2022,8:32,28.542
7/14/2022,8:40,27.754
7/14/2022,8:48,26.9
7/14/2022,8:56,26.006
7/14/2022,9:04,25.078
7/14/2022,9:12,24.106
7/14/2022,9:20,23.024
7/14/2022,9:28,22.093
7/14/2022,9:36,21.071
7/14/2022,9:44,20.038
7/14/2022,9:52,19.068
7/14/2022,10:00,18.141
7/14/2022,10:08,17.197
7/14/2022,10:16,16.285
