date,minute,encounter,behavior,ws,pc,cc,behav_s,difftime_s,behav_next,difftime_next
9/17/2021,1,3,Travel,0,0,0,1,0,18,-17
9/17/2021,2,3,Travel,0,0,0,1,1,18,-16
9/17/2021,3,3,Travel,0,0,0,1,2,18,-15
9/17/2021,4,3,Travel,0,0,0,1,3,18,-14
9/17/2021,5,3,Travel,0,0,0,1,4,18,-13
9/17/2021,6,3,Travel,0,4,0,1,5,18,-12
9/17/2021,7,3,Travel,3,2,0,1,6,18,-11
9/17/2021,8,3,Travel,1,7,0,1,7,18,-10
9/17/2021,9,3,Travel,6,5,0,1,8,18,-9
9/17/2021,10,3,Travel,10,11,0,1,9,18,-8
9/17/2021,11,3,Travel,2,17,0,1,10,18,-7
9/17/2021,12,3,Travel,9,4,0,1,11,18,-6
9/17/2021,13,3,Travel,11,0,0,1,12,18,-5
9/17/2021,14,3,Travel,4,2,0,1,13,18,-4
9/17/2021,15,3,Travel,14,2,0,1,14,18,-3
9/17/2021,16,3,Travel,2,0,0,1,15,18,-2
9/17/2021,17,3,Travel,1,0,0,1,16,18,-1
9/17/2021,18,3,Mill,1,0,0,18,0,39,-21
9/17/2021,19,3,Mill,1,0,0,18,1,39,-20
9/17/2021,20,3,Mill,0,0,0,18,2,39,-19
9/17/2021,21,3,Mill,0,0,0,18,3,39,-18
9/17/2021,22,3,Mill,0,0,0,18,4,39,-17
9/17/2021,23,3,Mill,1,0,0,18,5,39,-16
9/17/2021,24,3,Mill,0,0,0,18,6,39,-15
9/17/2021,25,3,Mill,0,0,0,18,7,39,-14
9/17/2021,26,3,Mill,0,0,0,18,8,39,-13
9/17/2021,27,3,Mill,0,0,0,18,9,39,-12
9/17/2021,28,3,Mill,0,0,0,18,10,39,-11
9/17/2021,29,3,Mill,0,0,1,18,11,39,-10
9/17/2021,30,3,Mill,0,0,0,18,12,39,-9
9/17/2021,31,3,Mill,0,0,0,18,13,39,-8
9/17/2021,32,3,Mill,0,0,0,18,14,39,-7
9/17/2021,33,3,Mill,0,0,0,18,15,39,-6
9/17/2021,34,3,Mill,0,0,0,18,16,39,-5
9/17/2021,35,3,Mill,0,0,0,18,17,39,-4
9/17/2021,36,3,Mill,0,0,0,18,18,39,-3
9/17/2021,37,3,Mill,0,0,0,18,19,39,-2
9/17/2021,38,3,Mill,0,0,0,18,20,39,-1
9/17/2021,39,3,Travel,0,0,0,39,0,1,38
9/17/2021,40,3,Travel,0,0,0,39,1,1,39
9/17/2021,41,3,Travel,0,0,0,39,2,1,40
9/17/2021,42,3,Travel,0,0,0,39,3,1,41
9/17/2021,43,3,Travel,0,0,0,39,4,1,42
9/17/2021,44,3,Travel,0,0,0,39,5,1,43
9/17/2021,45,3,Travel,0,0,0,39,6,1,44
9/17/2021,46,3,Travel,0,0,0,39,7,1,45
9/17/2021,47,3,Travel,0,0,0,39,8,1,46
9/17/2021,48,3,Travel,0,0,0,39,9,1,47
9/17/2021,1,4,Mill,0,0,0,1,0,18,-17
9/17/2021,2,4,Mill,0,0,0,1,1,18,-16
9/17/2021,3,4,Mill,0,0,0,1,2,18,-15
9/17/2021,4,4,Mill,0,0,0,1,3,18,-14
9/17/2021,5,4,Mill,0,0,0,1,4,18,-13
9/17/2021,6,4,Mill,0,0,0,1,5,18,-12
9/17/2021,7,4,Mill,0,0,0,1,6,18,-11
9/17/2021,8,4,Mill,0,0,0,1,7,18,-10
9/17/2021,9,4,Mill,1,0,0,1,8,18,-9
9/17/2021,10,4,Mill,8,0,0,1,9,18,-8
9/17/2021,11,4,Mill,4,0,0,1,10,18,-7
9/17/2021,12,4,Mill,2,2,0,1,11,18,-6
9/17/2021,13,4,Mill,22,8,0,1,12,18,-5
9/17/2021,14,4,Mill,28,15,0,1,13,18,-4
9/17/2021,15,4,Mill,14,38,0,1,14,18,-3
9/17/2021,16,4,Mill,26,26,7,1,15,18,-2
9/17/2021,17,4,Mill,18,13,2,1,16,18,-1
9/17/2021,18,4,Travel,9,8,6,18,0,1,17
9/17/2021,19,4,Travel,0,5,0,18,1,1,18
9/17/2021,20,4,Travel,8,5,0,18,2,1,19
9/17/2021,21,4,Travel,0,0,0,18,3,1,20
9/17/2021,22,4,Travel,3,0,0,18,4,1,21
9/17/2021,23,4,Travel,1,0,0,18,5,1,22
9/17/2021,24,4,Travel,0,0,0,18,6,1,23
10/7/2021,1,7,Travel,0,0,0,1,0,21,-20
10/7/2021,2,7,Travel,0,0,0,1,1,21,-19
10/7/2021,3,7,Travel,0,0,0,1,2,21,-18
10/7/2021,4,7,Travel,0,0,0,1,3,21,-17
