date,minute,encounter,calf_presence,flatws,pulse.flat,dws,aws,pulse.flat.seg,flatws.seg,pulse.d,aws.seg,uws,pulse.mod,modws,calf_s,difftime_s,calf_next,difftime_next
10/4/2021,1,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,38,-37
10/4/2021,2,5,yes,0,0,0,0,0,1,0,0,0,0,0,1,1,38,-36
10/4/2021,3,5,yes,9,0,1,0,0,2,0,0,0,0,0,1,2,38,-35
10/4/2021,4,5,yes,2,0,0,1,0,0,0,0,0,0,0,1,3,38,-34
10/4/2021,5,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,4,38,-33
10/4/2021,6,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,5,38,-32
10/4/2021,7,5,yes,1,0,1,0,0,0,1,0,0,0,0,1,6,38,-31
10/4/2021,8,5,yes,0,1,1,0,0,0,0,0,0,0,0,1,7,38,-30
10/4/2021,9,5,yes,7,1,1,0,1,0,0,0,1,0,0,1,8,38,-29
10/4/2021,10,5,yes,3,0,0,0,0,0,2,0,0,0,0,1,9,38,-28
10/4/2021,11,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,10,38,-27
10/4/2021,12,5,yes,0,0,0,0,0,1,0,0,0,0,0,1,11,38,-26
10/4/2021,13,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,12,38,-25
10/4/2021,14,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,13,38,-24
10/4/2021,15,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,14,38,-23
10/4/2021,16,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,15,38,-22
10/4/2021,17,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,16,38,-21
10/4/2021,18,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,17,38,-20
10/4/2021,19,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,18,38,-19
10/4/2021,20,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,19,38,-18
10/4/2021,21,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,20,38,-17
10/4/2021,22,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,21,38,-16
10/4/2021,23,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,22,38,-15
10/4/2021,24,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,23,38,-14
10/4/2021,25,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,24,38,-13
10/4/2021,26,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,25,38,-12
10/4/2021,27,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,26,38,-11
10/4/2021,28,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,27,38,-10
10/4/2021,29,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,28,38,-9
10/4/2021,30,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,29,38,-8
10/4/2021,31,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,30,38,-7
10/4/2021,32,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,31,38,-6
10/4/2021,33,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,32,38,-5
10/4/2021,34,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,33,38,-4
10/4/2021,35,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,34,38,-3
10/4/2021,36,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,35,38,-2
10/4/2021,37,5,yes,0,0,0,0,0,0,0,0,0,0,0,1,36,38,-1
10/4/2021,38,5,no,0,0,0,0,0,0,0,0,0,0,0,38,0,1,37
10/4/2021,39,5,no,0,0,0,0,0,0,0,0,0,0,0,38,1,1,38
10/4/2021,40,5,no,0,0,0,0,0,0,0,0,0,0,0,38,2,1,39
10/4/2021,41,5,no,0,0,0,0,0,0,0,0,0,0,0,38,3,1,40
10/4/2021,42,5,no,0,0,0,0,0,0,0,0,0,0,0,38,4,1,41
10/4/2021,43,5,no,0,0,0,0,0,0,0,0,0,0,0,38,5,1,42
10/4/2021,44,5,no,0,0,0,0,0,0,0,0,0,0,0,38,6,1,43
10/4/2021,45,5,no,0,0,0,0,0,0,0,0,0,0,0,38,7,1,44
10/4/2021,46,5,no,0,0,0,0,0,0,0,0,0,0,0,38,8,1,45
10/4/2021,47,5,no,0,0,0,0,0,0,0,0,0,0,0,38,9,1,46
10/4/2021,48,5,no,0,0,0,0,0,0,0,0,0,0,0,38,10,1,47
10/7/2021,1,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,21,-20
10/7/2021,2,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,1,21,-19
10/7/2021,3,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,2,21,-18
10/7/2021,4,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,3,21,-17
10/7/2021,5,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,4,21,-16
10/7/2021,6,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,5,21,-15
10/7/2021,7,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,6,21,-14
10/7/2021,8,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,7,21,-13
10/7/2021,9,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,8,21,-12
10/7/2021,10,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,9,21,-11
10/7/2021,11,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,10,21,-10
10/7/2021,12,7,yes,4,0,1,2,0,0,0,0,0,0,0,1,11,21,-9
10/7/2021,13,7,yes,8,0,1,4,0,0,0,4,0,0,0,1,12,21,-8
10/7/2021,14,7,yes,0,0,0,7,0,0,0,0,0,0,0,1,13,21,-7
10/7/2021,15,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,14,21,-6
10/7/2021,16,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,15,21,-5
10/7/2021,17,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,16,21,-4
10/7/2021,18,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,17,21,-3
10/7/2021,19,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,18,21,-2
10/7/2021,20,7,yes,0,0,0,0,0,0,0,0,0,0,0,1,19,21,-1
10/7/2021,21,7,no,0,0,0,0,0,0,0,0,0,0,0,21,0,1,20
10/7/2021,22,7,no,0,0,0,0,0,0,0,0,0,0,0,21,1,1,21
10/7/2021,23,7,no,0,0,0,0,0,0,0,0,0,0,0,21,2,1,22
10/7/2021,24,7,no,0,0,0,0,0,0,0,0,0,0,0,21,3,1,23
10/7/2021,25,7,no,0,0,0,0,0,0,0,0,0,0,0,21,4,1,24
10/7/2021,26,7,no,0,0,0,0,0,0,0,0,0,0,0,21,5,1,25
10/7/2021,27,7,no,0,0,0,0,0,0,0,0,0,0,0,21,6,1,26
10/7/2021,28,7,no,0,0,0,0,0,0,0,0,0,0,0,21,7,1,27
10/7/2021,29,7,no,0,0,0,0,0,0,0,0,0,0,0,21,8,1,28
10/7/2021,30,7,no,0,0,0,0,0,0,0,0,0,0,0,21,9,1,29
10/7/2021,31,7,no,0,0,0,0,0,0,0,0,0,0,0,21,10,1,30
10/7/2021,32,7,no,0,0,0,0,0,0,0,0,0,0,0,21,11,1,31
10/7/2021,33,7,no,0,0,0,0,0,0,0,0,0,0,0,21,12,1,32
10/7/2021,34,7,no,0,0,0,0,0,0,0,0,0,0,0,21,13,1,33
10/7/2021,35,7,no,0,0,0,0,0,0,0,0,0,0,0,21,14,1,34
10/7/2021,36,7,no,0,0,0,0,0,0,0,0,0,0,0,21,15,1,35
10/7/2021,37,7,no,0,0,0,0,0,0,0,0,0,0,0,21,16,1,36
10/7/2021,38,7,no,0,0,0,0,0,0,0,0,0,0,0,21,17,1,37
10/7/2021,39,7,no,0,0,0,0,0,0,0,0,0,0,0,21,18,1,38
9/17/2021,1,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,39,-38
9/17/2021,2,3,yes,0,0,0,0,0,0,0,0,0,0,0,1,1,39,-37
