date,time,encounter,tide,group_size,calf_presence,behavior,call_category
9/6/2021,11:23:00,1,Ebb,9,yes,Mill,ws
9/17/2021,10:51:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:51:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:51:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:52:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:53:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:53:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:53:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:53:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:53:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:53:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:54:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:55:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:56:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:57:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:58:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:58:00,3,Ebb,13,yes,Travel,ws
9/17/2021,10:58:00,3,Ebb,13,yes,Travel,ws
