date,time,encounter,tide,group_size,calf_presence,behavior,n_minute,n_minute_group
9/6/2021,11:00:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:01:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:02:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:03:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:04:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:05:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:06:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:07:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:08:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:09:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:10:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:11:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:12:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:13:00,1a,Ebb,1,no,Travel,0,0
9/6/2021,11:14:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:15:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:16:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:17:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:18:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:19:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:20:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:21:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:22:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:23:00,1b,Ebb,9,yes,Mill,2,0.222222222
9/6/2021,11:24:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:25:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:26:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:27:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:28:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:29:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:30:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:31:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:32:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:33:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:34:00,1b,Ebb,9,yes,Mill,0,0
9/6/2021,11:35:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:36:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:37:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:38:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:39:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:40:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:41:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:42:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:43:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:44:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:45:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:46:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:47:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:48:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:49:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:50:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:51:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:52:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:53:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:54:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:55:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:56:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:57:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:58:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,11:59:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:00:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:01:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:02:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:03:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:04:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:05:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:06:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:07:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:08:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:09:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:10:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:11:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:12:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:13:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:14:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:15:00,1c,Ebb,2,yes,Travel,0,0
9/6/2021,12:16:00,1c,Ebb,2,yes,Travel,0,0
9/11/2021,13:22:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:23:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:24:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:25:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:26:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:27:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:28:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:29:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:30:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:31:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:32:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:33:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:34:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:35:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:36:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:37:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:38:00,2a,Ebb,6,yes,Travel,0,0
9/11/2021,13:39:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:40:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:41:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:42:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:43:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:44:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:45:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:46:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:47:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:48:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:49:00,2b,Ebb,2,no,Travel,0,0
9/11/2021,13:50:00,2b,Ebb,2,no,Travel,0,0
9/17/2021,10:45:00,3a,Ebb,13,yes,Travel,0,0
9/17/2021,10:46:00,3a,Ebb,13,yes,Travel,0,0
9/17/2021,10:47:00,3a,Ebb,13,yes,Travel,0,0
9/17/2021,10:48:00,3a,Ebb,13,yes,Travel,0,0
9/17/2021,10:49:00,3a,Ebb,13,yes,Travel,0,0
9/17/2021,10:50:00,3a,Ebb,13,yes,Travel,4,0.307692308
9/17/2021,10:51:00,3a,Ebb,13,yes,Travel,5,0.384615385
9/17/2021,10:52:00,3a,Ebb,13,yes,Travel,8,0.615384615
9/17/2021,10:53:00,3a,Ebb,13,yes,Travel,11,0.846153846
9/17/2021,10:54:00,3a,Ebb,13,yes,Travel,21,1.615384615
9/17/2021,10:55:00,3a,Ebb,13,yes,Travel,19,1.461538462
9/17/2021,10:56:00,3a,Ebb,13,yes,Travel,13,1
9/17/2021,10:57:00,3a,Ebb,13,yes,Travel,11,0.846153846
9/17/2021,10:58:00,3a,Ebb,13,yes,Travel,6,0.461538462
9/17/2021,10:59:00,3a,Ebb,13,yes,Travel,16,1.230769231
9/17/2021,11:00:00,3a,Ebb,13,yes,Travel,2,0.153846154
9/17/2021,11:01:00,3a,Ebb,13,yes,Travel,1,0.076923077
9/17/2021,11:02:00,3b,Ebb,6,yes,Mill,1,0.166666667
9/17/2021,11:03:00,3b,Ebb,6,yes,Mill,1,0.166666667
9/17/2021,11:04:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:05:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:06:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:07:00,3b,Ebb,6,yes,Mill,1,0.166666667
9/17/2021,11:08:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:09:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:10:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:11:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:12:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:13:00,3b,Ebb,6,yes,Mill,1,0.166666667
9/17/2021,11:14:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:15:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:16:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:17:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:18:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:19:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:20:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:21:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:22:00,3b,Ebb,6,yes,Mill,0,0
9/17/2021,11:23:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:24:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:25:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:26:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:27:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:28:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:29:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:30:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:31:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,11:32:00,3c,Ebb,1,no,Travel,0,0
9/17/2021,13:07:00,4a,Flood,10,yes,Mill,0,0
9/17/2021,13:08:00,4a,Flood,10,yes,Mill,0,0
9/17/2021,13:09:00,4a,Flood,10,yes,Mill,0,0
9/17/2021,13:10:00,4a,Flood,10,yes,Mill,0,0
9/17/2021,13:11:00,4a,Flood,10,yes,Mill,0,0
9/17/2021,13:12:00,4a,Flood,10,yes,Mill,0,0
9/17/2021,13:13:00,4a,Flood,10,yes,Mill,0,0
9/17/2021,13:14:00,4a,Flood,10,yes,Mill,0,0
9/17/2021,13:15:00,4a,Flood,10,yes,Mill,1,0.1
9/17/2021,13:16:00,4a,Flood,10,yes,Mill,8,0.8
9/17/2021,13:17:00,4a,Flood,10,yes,Mill,4,0.4
9/17/2021,13:18:00,4a,Flood,10,yes,Mill,4,0.4
9/17/2021,13:19:00,4a,Flood,10,yes,Mill,30,3
9/17/2021,13:20:00,4a,Flood,10,yes,Mill,43,4.3
9/17/2021,13:21:00,4a,Flood,10,yes,Mill,52,5.2
9/17/2021,13:22:00,4a,Flood,10,yes,Mill,59,5.9
9/17/2021,13:23:00,4a,Flood,10,yes,Mill,33,3.3
9/17/2021,13:24:00,4b,Flood,15,yes,Travel,23,1.533333333
9/17/2021,13:25:00,4b,Flood,15,yes,Travel,5,0.333333333
9/17/2021,13:26:00,4b,Flood,15,yes,Travel,13,0.866666667
9/17/2021,13:27:00,4b,Flood,15,yes,Travel,0,0
9/17/2021,13:28:00,4b,Flood,15,yes,Travel,3,0.2
9/17/2021,13:29:00,4b,Flood,15,yes,Travel,1,0.066666667
9/17/2021,13:30:00,4b,Flood,15,yes,Travel,0,0
10/4/2021,10:45:00,5a,Ebb,17,yes,Travel,0,0
10/4/2021,10:46:00,5a,Ebb,17,yes,Travel,1,0.058823529
10/4/2021,10:47:00,5a,Ebb,17,yes,Travel,13,0.764705882
10/4/2021,10:48:00,5a,Ebb,17,yes,Travel,3,0.176470588
10/4/2021,10:49:00,5a,Ebb,17,yes,Travel,0,0
10/4/2021,10:50:00,5a,Ebb,17,yes,Travel,0,0
10/4/2021,10:51:00,5a,Ebb,17,yes,Travel,3,0.176470588
10/4/2021,10:52:00,5a,Ebb,17,yes,Travel,2,0.117647059
10/4/2021,10:53:00,5a,Ebb,17,yes,Travel,11,0.647058824
10/4/2021,10:54:00,5a,Ebb,17,yes,Travel,5,0.294117647
10/4/2021,10:55:00,5a,Ebb,17,yes,Travel,0,0
10/4/2021,10:56:00,5a,Ebb,17,yes,Travel,1,0.058823529
10/4/2021,10:57:00,5a,Ebb,17,yes,Travel,0,0
10/4/2021,10:58:00,5a,Ebb,17,yes,Travel,0,0
10/4/2021,10:59:00,5a,Ebb,17,yes,Travel,0,0
10/4/2021,11:00:00,5a,Ebb,17,yes,Travel,0,0
10/4/2021,11:01:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:02:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:03:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:04:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:05:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:06:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:07:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:08:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:09:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:10:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:11:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:12:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:13:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:14:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:15:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:16:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:17:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:18:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:19:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:20:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:21:00,5b,Ebb,6,yes,Travel,0,0
10/4/2021,11:22:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:23:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:24:00,5c,Ebb,2,no,Travel,1,0.5
10/4/2021,11:25:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:26:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:27:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:28:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:29:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:30:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:31:00,5c,Ebb,2,no,Travel,0,0
10/4/2021,11:32:00,5c,Ebb,2,no,Travel,0,0
10/6/2021,10:49:00,6,Ebb,15,yes,Travel,3,0.2
10/6/2021,10:50:00,6,Ebb,15,yes,Travel,8,0.533333333
10/6/2021,10:51:00,6,Ebb,15,yes,Travel,5,0.333333333
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,13,0.866666667
10/6/2021,10:53:00,6,Ebb,15,yes,Travel,0,0
10/6/2021,10:54:00,6,Ebb,15,yes,Travel,0,0
10/6/2021,10:55:00,6,Ebb,15,yes,Travel,1,0.066666667
10/6/2021,10:56:00,6,Ebb,15,yes,Travel,6,0.4
10/6/2021,10:57:00,6,Ebb,15,yes,Travel,1,0.066666667
10/6/2021,10:58:00,6,Ebb,15,yes,Travel,0,0
10/6/2021,10:59:00,6,Ebb,15,yes,Travel,1,0.066666667
10/6/2021,11:00:00,6,Ebb,15,yes,Travel,0,0
10/6/2021,11:01:00,6,Ebb,15,yes,Travel,0,0
10/6/2021,11:02:00,6,Ebb,15,yes,Travel,0,0
10/6/2021,11:03:00,6,Ebb,15,yes,Travel,0,0
10/6/2021,11:04:00,6,Ebb,15,yes,Travel,0,0
10/6/2021,11:05:00,6,Ebb,15,yes,Travel,0,0
10/7/2021,11:49:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:50:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:51:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:52:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:53:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:54:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:55:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:56:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:57:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:58:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,11:59:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,12:00:00,7a,Ebb,15,yes,Travel,7,0.466666667
10/7/2021,12:01:00,7a,Ebb,15,yes,Travel,17,1.133333333
10/7/2021,12:02:00,7a,Ebb,15,yes,Travel,7,0.466666667
10/7/2021,12:03:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,12:04:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,12:05:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,12:06:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,12:07:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,12:08:00,7a,Ebb,15,yes,Travel,0,0
10/7/2021,12:09:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:10:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:11:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:12:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:13:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:14:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:15:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:16:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:17:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:18:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:19:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:20:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:21:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:22:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:23:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:24:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:25:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:26:00,7b,Ebb,6,no,Mill,0,0
10/7/2021,12:27:00,7b,Ebb,6,no,Mill,0,0
10/8/2021,12:12:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:13:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:14:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:15:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:16:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:17:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:18:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:19:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:20:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:21:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:22:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:23:00,8a,Ebb,19,yes,Travel,0,0
10/8/2021,12:24:00,8a,Ebb,19,yes,Travel,4,0.210526316
10/8/2021,12:25:00,8a,Ebb,19,yes,Travel,4,0.210526316
10/8/2021,12:26:00,8a,Ebb,19,yes,Travel,22,1.157894737
10/8/2021,12:27:00,8a,Ebb,19,yes,Travel,8,0.421052632
10/8/2021,12:28:00,8b,Ebb,53,yes,Travel,20,0.377358491
10/8/2021,12:29:00,8b,Ebb,53,yes,Travel,18,0.339622642
10/8/2021,12:30:00,8b,Ebb,53,yes,Travel,4,0.075471698
