date,time,encounter,tide,group_size,calf_presence,behavior,n_minute
10/11/2021,10:42:00,9,Flood,5,no,Mill,0
10/11/2021,10:43:00,9,Flood,5,no,Mill,0
10/11/2021,10:44:00,9,Flood,5,no,Mill,0
10/11/2021,10:45:00,9,Flood,5,no,Mill,0
10/11/2021,10:46:00,9,Flood,5,no,Mill,0
10/11/2021,10:47:00,9,Flood,5,no,Mill,0
10/11/2021,10:48:00,9,Flood,5,no,Mill,0
10/11/2021,13:48:00,10,Ebb,5,no,Travel,0
10/11/2021,13:49:00,10,Ebb,5,no,Travel,0
10/11/2021,13:50:00,10,Ebb,5,no,Travel,0
10/11/2021,13:51:00,10,Ebb,5,no,Travel,0
10/11/2021,13:52:00,10,Ebb,5,no,Travel,0
10/11/2021,13:53:00,10,Ebb,5,no,Travel,0
10/11/2021,13:54:00,10,Ebb,5,no,Travel,0
10/11/2021,13:55:00,10,Ebb,5,no,Travel,0
10/4/2021,10:45:00,5,Ebb,17,yes,Travel,0
10/4/2021,10:46:00,5,Ebb,17,yes,Travel,1
10/4/2021,10:47:00,5,Ebb,17,yes,Travel,13
10/4/2021,10:48:00,5,Ebb,17,yes,Travel,3
10/4/2021,10:49:00,5,Ebb,17,yes,Travel,0
10/4/2021,10:50:00,5,Ebb,17,yes,Travel,0
10/4/2021,10:51:00,5,Ebb,17,yes,Travel,3
10/4/2021,10:52:00,5,Ebb,17,yes,Travel,2
10/4/2021,10:53:00,5,Ebb,17,yes,Travel,11
10/4/2021,10:54:00,5,Ebb,17,yes,Travel,5
10/4/2021,10:55:00,5,Ebb,17,yes,Travel,0
10/4/2021,10:56:00,5,Ebb,17,yes,Travel,1
10/4/2021,10:57:00,5,Ebb,17,yes,Travel,0
10/4/2021,10:58:00,5,Ebb,17,yes,Travel,0
10/4/2021,10:59:00,5,Ebb,17,yes,Travel,0
10/4/2021,11:00:00,5,Ebb,17,yes,Travel,0
10/4/2021,11:01:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:02:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:03:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:04:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:05:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:06:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:07:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:08:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:09:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:10:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:11:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:12:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:13:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:14:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:15:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:16:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:17:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:18:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:19:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:20:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:21:00,5,Ebb,6,yes,Travel,0
10/4/2021,11:22:00,5,Ebb,2,no,Travel,0
10/4/2021,11:23:00,5,Ebb,2,no,Travel,0
10/4/2021,11:24:00,5,Ebb,2,no,Travel,1
10/4/2021,11:25:00,5,Ebb,2,no,Travel,0
10/4/2021,11:26:00,5,Ebb,2,no,Travel,0
10/4/2021,11:27:00,5,Ebb,2,no,Travel,0
10/4/2021,11:28:00,5,Ebb,2,no,Travel,0
10/4/2021,11:29:00,5,Ebb,2,no,Travel,0
10/4/2021,11:30:00,5,Ebb,2,no,Travel,0
10/4/2021,11:31:00,5,Ebb,2,no,Travel,0
10/4/2021,11:32:00,5,Ebb,2,no,Travel,0
10/6/2021,10:49:00,6,Ebb,15,yes,Travel,3
10/6/2021,10:50:00,6,Ebb,15,yes,Travel,8
