date,minute,encounter,behavior,t_index,ws,pc,cc
9/17/2021,1,3,Travel,0,0,0,0
9/17/2021,2,3,Travel,1,0,0,0
9/17/2021,3,3,Travel,2,0,0,0
9/17/2021,4,3,Travel,3,0,0,0
9/17/2021,5,3,Travel,4,0,0,0
9/17/2021,6,3,Travel,5,0,4,0
9/17/2021,7,3,Travel,6,3,2,0
9/17/2021,8,3,Travel,7,1,7,0
9/17/2021,9,3,Travel,8,6,5,0
9/17/2021,10,3,Travel,9,10,11,0
9/17/2021,11,3,Travel,10,2,17,0
9/17/2021,12,3,Travel,11,9,4,0
9/17/2021,13,3,Travel,12,11,0,0
9/17/2021,14,3,Travel,13,4,2,0
9/17/2021,15,3,Travel,14,14,2,0
9/17/2021,16,3,Travel,15,2,0,0
9/17/2021,17,3,Travel,16,1,0,0
9/17/2021,18,3,Mill,-21,1,0,0
9/17/2021,19,3,Mill,-20,1,0,0
9/17/2021,20,3,Mill,-19,0,0,0
9/17/2021,21,3,Mill,-18,0,0,0
9/17/2021,22,3,Mill,-17,0,0,0
9/17/2021,23,3,Mill,-16,1,0,0
9/17/2021,24,3,Mill,-15,0,0,0
9/17/2021,25,3,Mill,-14,0,0,0
9/17/2021,26,3,Mill,-13,0,0,0
9/17/2021,27,3,Mill,-12,0,0,0
9/17/2021,28,3,Mill,-11,0,0,0
9/17/2021,29,3,Mill,-10,0,0,1
9/17/2021,30,3,Mill,-9,0,0,0
9/17/2021,31,3,Mill,-8,0,0,0
9/17/2021,32,3,Mill,-7,0,0,0
9/17/2021,33,3,Mill,-6,0,0,0
9/17/2021,34,3,Mill,-5,0,0,0
9/17/2021,35,3,Mill,-4,0,0,0
9/17/2021,36,3,Mill,-3,0,0,0
9/17/2021,37,3,Mill,-2,0,0,0
9/17/2021,38,3,Mill,-1,0,0,0
9/17/2021,39,3,Travel,0,0,0,0
9/17/2021,40,3,Travel,1,0,0,0
9/17/2021,41,3,Travel,2,0,0,0
9/17/2021,42,3,Travel,3,0,0,0
9/17/2021,43,3,Travel,4,0,0,0
9/17/2021,44,3,Travel,5,0,0,0
9/17/2021,45,3,Travel,6,0,0,0
9/17/2021,46,3,Travel,7,0,0,0
9/17/2021,47,3,Travel,8,0,0,0
9/17/2021,48,3,Travel,9,0,0,0
9/17/2021,1,4,Mill,-17,0,0,0
9/17/2021,2,4,Mill,-16,0,0,0
9/17/2021,3,4,Mill,-15,0,0,0
9/17/2021,4,4,Mill,-14,0,0,0
9/17/2021,5,4,Mill,-13,0,0,0
9/17/2021,6,4,Mill,-12,0,0,0
9/17/2021,7,4,Mill,-11,0,0,0
9/17/2021,8,4,Mill,-10,0,0,0
9/17/2021,9,4,Mill,-9,1,0,0
9/17/2021,10,4,Mill,-8,8,0,0
9/17/2021,11,4,Mill,-7,4,0,0
9/17/2021,12,4,Mill,-6,2,2,0
9/17/2021,13,4,Mill,-5,22,8,0
9/17/2021,14,4,Mill,-4,28,15,0
9/17/2021,15,4,Mill,-3,14,38,0
9/17/2021,16,4,Mill,-2,26,26,7
9/17/2021,17,4,Mill,-1,18,13,2
9/17/2021,18,4,Travel,0,9,8,6
9/17/2021,19,4,Travel,1,0,5,0
9/17/2021,20,4,Travel,2,8,5,0
9/17/2021,21,4,Travel,3,0,0,0
9/17/2021,22,4,Travel,4,3,0,0
9/17/2021,23,4,Travel,5,1,0,0
9/17/2021,24,4,Travel,6,0,0,0
10/7/2021,1,7,Travel,0,0,0,0
10/7/2021,2,7,Travel,1,0,0,0
10/7/2021,3,7,Travel,2,0,0,0
10/7/2021,4,7,Travel,3,0,0,0
10/7/2021,5,7,Travel,4,0,0,0
10/7/2021,6,7,Travel,5,0,0,0
10/7/2021,7,7,Travel,6,0,0,0
10/7/2021,8,7,Travel,7,0,0,0
10/7/2021,9,7,Travel,8,0,0,0
10/7/2021,10,7,Travel,9,0,0,0
10/7/2021,11,7,Travel,10,0,0,0
10/7/2021,12,7,Travel,11,7,0,0
10/7/2021,13,7,Travel,12,17,0,0
10/7/2021,14,7,Travel,13,7,0,0
10/7/2021,15,7,Travel,14,0,0,0
10/7/2021,16,7,Travel,15,0,0,0
10/7/2021,17,7,Travel,16,0,0,0
10/7/2021,18,7,Travel,17,0,0,0
10/7/2021,19,7,Travel,18,0,0,0
10/7/2021,20,7,Travel,19,0,0,0
10/7/2021,21,7,Mill,-19,0,0,0
10/7/2021,22,7,Mill,-18,0,0,0
10/7/2021,23,7,Mill,-17,0,0,0
10/7/2021,24,7,Mill,-16,0,0,0
