minute,calf_presence,t_index,ws,pc,cc
1,yes,0,0,0,0
2,yes,1,0,0,0
3,yes,2,0,0,0
4,yes,3,0,0,0
5,yes,4,0,0,0
6,yes,5,0,4,0
7,yes,6,3,2,0
8,yes,7,1,7,0
9,yes,8,6,5,0
10,yes,9,10,11,0
11,yes,10,2,17,0
12,yes,11,9,4,0
13,yes,12,11,0,0
14,yes,13,4,2,0
15,yes,14,14,2,0
16,yes,15,2,0,0
17,yes,16,1,0,0
18,yes,17,1,0,0
19,yes,18,1,0,0
20,yes,19,0,0,0
21,yes,20,0,0,0
22,yes,21,0,0,0
23,yes,22,1,0,0
24,yes,23,0,0,0
25,yes,24,0,0,0
26,yes,25,0,0,0
27,yes,26,0,0,0
28,yes,27,0,0,0
29,yes,28,0,0,1
30,yes,29,0,0,0
31,yes,30,0,0,0
32,yes,31,0,0,0
33,yes,32,0,0,0
34,yes,33,0,0,0
35,yes,34,0,0,0
36,yes,35,0,0,0
37,yes,36,0,0,0
38,yes,37,0,0,0
39,no,-10,0,0,0
40,no,-9,0,0,0
41,no,-8,0,0,0
42,no,-7,0,0,0
43,no,-6,0,0,0
44,no,-5,0,0,0
45,no,-4,0,0,0
46,no,-3,0,0,0
47,no,-2,0,0,0
48,no,-1,0,0,0
1,yes,0,0,0,0
2,yes,1,1,0,0
3,yes,2,13,0,0
4,yes,3,3,0,0
5,yes,4,0,0,0
6,yes,5,0,0,0
7,yes,6,2,1,0
8,yes,7,1,1,0
9,yes,8,9,2,0
10,yes,9,3,2,0
11,yes,10,0,0,0
12,yes,11,1,0,0
13,yes,12,0,0,0
14,yes,13,0,0,0
15,yes,14,0,0,0
16,yes,15,0,0,0
17,yes,16,0,0,0
18,yes,17,0,0,0
19,yes,18,0,0,0
20,yes,19,0,0,0
21,yes,20,0,0,0
22,yes,21,0,0,0
23,yes,22,0,0,0
24,yes,23,0,0,0
25,yes,24,0,0,0
26,yes,25,0,0,0
27,yes,26,0,0,0
28,yes,27,0,0,0
29,yes,28,0,0,0
30,yes,29,0,0,0
31,yes,30,0,0,0
32,yes,31,0,0,0
33,yes,32,0,0,0
34,yes,33,0,0,0
35,yes,34,0,0,0
36,yes,35,0,0,0
37,yes,36,0,0,0
38,no,-11,0,0,0
39,no,-10,0,0,0
40,no,-9,0,1,0
41,no,-8,0,0,0
42,no,-7,0,0,0
43,no,-6,0,0,0
44,no,-5,0,0,0
45,no,-4,0,0,0
46,no,-3,0,0,0
47,no,-2,0,0,0
48,no,-1,0,0,0
1,yes,0,0,0,0
2,yes,1,0,0,0
3,yes,2,0,0,0
4,yes,3,0,0,0
5,yes,4,0,0,0
6,yes,5,0,0,0
7,yes,6,0,0,0
8,yes,7,0,0,0
9,yes,8,0,0,0
10,yes,9,0,0,0
11,yes,10,0,0,0
12,yes,11,7,0,0
13,yes,12,17,0,0
14,yes,13,7,0,0
15,yes,14,0,0,0
16,yes,15,0,0,0
17,yes,16,0,0,0
18,yes,17,0,0,0
19,yes,18,0,0,0
20,yes,19,0,0,0
21,no,-19,0,0,0
22,no,-18,0,0,0
23,no,-17,0,0,0
24,no,-16,0,0,0
25,no,-15,0,0,0
26,no,-14,0,0,0
27,no,-13,0,0,0
28,no,-12,0,0,0
29,no,-11,0,0,0
30,no,-10,0,0,0
31,no,-9,0,0,0
32,no,-8,0,0,0
33,no,-7,0,0,0
34,no,-6,0,0,0
35,no,-5,0,0,0
36,no,-4,0,0,0
37,no,-3,0,0,0
38,no,-2,0,0,0
39,no,-1,0,0,0
1,yes,0,0,0,0
2,yes,1,0,0,0
3,yes,2,0,0,0
4,yes,3,0,0,0
5,yes,4,0,0,0
6,yes,5,0,0,0
7,yes,6,0,0,0
8,yes,7,2,0,0
9,yes,8,0,0,0
10,yes,9,7,0,0
11,yes,10,2,0,0
12,yes,11,1,0,0
13,yes,12,2,0,0
14,yes,13,0,0,0
15,yes,14,0,0,0
16,yes,15,0,0,0
17,yes,16,0,0,0
18,yes,17,0,0,0
19,yes,18,0,0,0
20,yes,19,1,0,0
21,yes,20,0,0,0
22,yes,21,0,3,0
23,yes,22,0,2,0
24,yes,23,0,0,0
