minute,behavior,t_index,ws,pc,cc
1,Travel,-17,0,0,0
2,Travel,-16,0,0,0
3,Travel,-15,0,0,0
4,Travel,-14,0,0,0
5,Travel,-13,0,0,0
6,Travel,-12,0,4,0
7,Travel,-11,3,2,0
8,Travel,-10,1,7,0
9,Travel,-9,6,5,0
10,Travel,-8,10,11,0
11,Travel,-7,2,17,0
12,Travel,-6,9,4,0
13,Travel,-5,11,0,0
14,Travel,-4,4,2,0
15,Travel,-3,14,2,0
16,Travel,-2,2,0,0
17,Travel,-1,1,0,0
18,Mill,0,1,0,0
19,Mill,1,1,0,0
20,Mill,2,0,0,0
21,Mill,3,0,0,0
22,Mill,4,0,0,0
23,Mill,5,1,0,0
24,Mill,6,0,0,0
25,Mill,7,0,0,0
26,Mill,8,0,0,0
27,Mill,9,0,0,0
28,Mill,10,0,0,0
29,Mill,11,0,0,1
30,Mill,12,0,0,0
31,Mill,13,0,0,0
32,Mill,14,0,0,0
33,Mill,15,0,0,0
34,Mill,16,0,0,0
35,Mill,17,0,0,0
36,Mill,18,0,0,0
37,Mill,19,0,0,0
38,Mill,20,0,0,0
39,Travel,-10,0,0,0
40,Travel,-9,0,0,0
41,Travel,-8,0,0,0
42,Travel,-7,0,0,0
43,Travel,-6,0,0,0
44,Travel,-5,0,0,0
45,Travel,-4,0,0,0
46,Travel,-3,0,0,0
47,Travel,-2,0,0,0
48,Travel,-1,0,0,0
1,Mill,0,0,0,0
2,Mill,1,0,0,0
3,Mill,2,0,0,0
4,Mill,3,0,0,0
5,Mill,4,0,0,0
6,Mill,5,0,0,0
7,Mill,6,0,0,0
8,Mill,7,0,0,0
9,Mill,8,1,0,0
10,Mill,9,8,0,0
11,Mill,10,4,0,0
12,Mill,11,2,2,0
13,Mill,12,22,8,0
14,Mill,13,28,15,0
15,Mill,14,14,38,0
16,Mill,15,26,26,7
17,Mill,16,18,13,2
18,Travel,-7,9,8,6
19,Travel,-6,0,5,0
20,Travel,-5,8,5,0
21,Travel,-4,0,0,0
22,Travel,-3,3,0,0
23,Travel,-2,1,0,0
24,Travel,-1,0,0,0
1,Travel,-20,0,0,0
2,Travel,-19,0,0,0
3,Travel,-18,0,0,0
4,Travel,-17,0,0,0
5,Travel,-16,0,0,0
6,Travel,-15,0,0,0
7,Travel,-14,0,0,0
8,Travel,-13,0,0,0
9,Travel,-12,0,0,0
10,Travel,-11,0,0,0
11,Travel,-10,0,0,0
12,Travel,-9,7,0,0
13,Travel,-8,17,0,0
14,Travel,-7,7,0,0
15,Travel,-6,0,0,0
16,Travel,-5,0,0,0
17,Travel,-4,0,0,0
18,Travel,-3,0,0,0
19,Travel,-2,0,0,0
20,Travel,-1,0,0,0
21,Mill,0,0,0,0
22,Mill,1,0,0,0
23,Mill,2,0,0,0
24,Mill,3,0,0,0
25,Mill,4,0,0,0
26,Mill,5,0,0,0
27,Mill,6,0,0,0
28,Mill,7,0,0,0
29,Mill,8,0,0,0
30,Mill,9,0,0,0
31,Mill,10,0,0,0
32,Mill,11,0,0,0
33,Mill,12,0,0,0
34,Mill,13,0,0,0
35,Mill,14,0,0,0
36,Mill,15,0,0,0
37,Mill,16,0,0,0
38,Mill,17,0,0,0
39,Mill,18,0,0,0
1,Travel,-21,0,0,0
2,Travel,-20,0,0,0
3,Travel,-19,0,0,0
4,Travel,-18,0,0,0
5,Travel,-17,0,0,0
6,Travel,-16,0,0,0
7,Travel,-15,0,0,0
8,Travel,-14,2,0,0
9,Travel,-13,0,0,0
10,Travel,-12,7,0,0
11,Travel,-11,2,0,0
12,Travel,-10,1,0,0
13,Travel,-9,2,0,0
14,Travel,-8,0,0,0
15,Travel,-7,0,0,0
16,Travel,-6,0,0,0
17,Travel,-5,0,0,0
18,Travel,-4,0,0,0
19,Travel,-3,0,0,0
20,Travel,-2,1,0,0
21,Travel,-1,0,0,0
22,Mill,0,0,3,0
23,Mill,1,0,2,0
24,Mill,2,0,0,0
25,Mill,3,0,0,0
26,Mill,4,0,1,0
27,Mill,5,0,6,6
28,Mill,6,0,6,17
29,Mill,7,0,0,0
30,Mill,8,2,2,0
31,Mill,9,0,0,0
32,Mill,10,0,0,0
33,Mill,11,0,0,0
34,Mill,12,1,0,0
35,Mill,13,0,0,0
36,Mill,14,1,0,0
37,Mill,15,10,0,0
38,Mill,16,8,0,0
39,Mill,17,1,0,0
40,Mill,18,5,0,0
41,Mill,19,5,0,0
42,Mill,20,6,0,0
43,Travel,-21,1,0,0
44,Travel,-20,5,0,0
45,Travel,-19,5,0,0
46,Travel,-18,7,0,0
47,Travel,-17,3,0,0
48,Travel,-16,7,0,0
49,Travel,-15,9,0,0
50,Travel,-14,15,2,0
51,Travel,-13,16,0,0
52,Travel,-12,6,0,0
53,Travel,-11,4,0,0
54,Travel,-10,11,0,0
55,Travel,-9,16,0,0
56,Travel,-8,2,0,0
57,Travel,-7,2,0,0
58,Travel,-6,1,0,0
59,Travel,-5,1,0,0
60,Travel,-4,0,0,0
61,Travel,-3,0,0,0
62,Travel,-2,0,0,0
63,Travel,-1,0,0,0
64,Mill,0,1,0,0
65,Mill,1,0,0,0
66,Mill,2,0,0,0
67,Mill,3,0,0,0
68,Mill,4,0,0,0
69,Mill,5,0,0,0
70,Mill,6,0,0,0
71,Mill,7,0,0,0
72,Mill,8,0,0,0
73,Mill,9,0,0,0
74,Mill,10,0,0,0
75,Mill,11,0,0,0
76,Mill,12,0,0,0
77,Mill,13,0,0,0
78,Mill,14,0,0,0
79,Mill,15,0,0,0
80,Mill,16,0,0,0
81,Mill,17,0,0,0
82,Mill,18,0,0,0
83,Mill,19,0,0,0
84,Mill,20,0,0,0
85,Mill,21,0,0,0
86,Mill,22,0,0,0
87,Mill,23,0,0,0
88,Mill,24,0,0,0
89,Mill,25,0,0,0
90,Mill,26,0,0,0
91,Mill,27,0,0,0
92,Mill,28,0,0,0
93,Mill,29,0,0,0
94,Mill,30,0,0,0
95,Mill,31,0,0,0
96,Mill,32,0,0,0
97,Mill,33,0,0,0
98,Mill,34,0,0,0
99,Mill,35,0,0,0
100,Mill,36,0,0,0
101,Mill,37,0,0,0
102,Mill,38,0,0,0
103,Mill,39,0,0,0
104,Mill,40,0,0,0
105,Mill,41,0,0,0
106,Travel,-21,0,0,0
107,Travel,-20,0,0,0
108,Travel,-19,0,0,0
109,Travel,-18,0,0,0
110,Travel,-17,0,0,0
111,Travel,-16,0,0,0
112,Travel,-15,0,0,0
113,Travel,-14,2,0,0
114,Travel,-13,1,2,0
115,Travel,-12,1,4,0
116,Travel,-11,0,0,0
117,Travel,-10,0,0,0
118,Travel,-9,3,1,0
119,Travel,-8,1,1,0
120,Travel,-7,0,0,0
121,Travel,-6,0,0,0
122,Travel,-5,0,2,0
123,Travel,-4,2,2,0
124,Travel,-3,0,0,0
125,Travel,-2,1,0,0
126,Travel,-1,0,1,0
127,Mill,0,1,0,0
128,Mill,1,0,0,0
129,Mill,2,0,0,0
130,Mill,3,0,0,0
131,Mill,4,0,2,0
132,Mill,5,0,0,0
133,Mill,6,0,0,0
134,Mill,7,0,0,0
135,Mill,8,0,1,0
136,Mill,9,0,0,0
137,Mill,10,0,0,0
138,Mill,11,0,0,0
139,Mill,12,0,0,0
140,Mill,13,0,0,0
141,Mill,14,0,0,0
142,Mill,15,0,0,0
143,Mill,16,0,0,0
144,Mill,17,0,0,0
145,Mill,18,0,0,0
146,Mill,19,0,0,0
147,Mill,20,0,0,0
148,Mill,21,0,0,0
149,Mill,22,0,0,0
150,Mill,23,0,0,0
151,Mill,24,0,0,0
152,Mill,25,0,0,0
153,Mill,26,0,0,0
154,Mill,27,0,0,0
155,Mill,28,0,0,0
156,Mill,29,0,0,0
157,Mill,30,0,0,0
158,Mill,31,0,0,0
159,Mill,32,0,0,0
160,Mill,33,0,0,0
161,Mill,34,0,0,0
162,Mill,35,0,0,0
163,Mill,36,0,0,0
164,Mill,37,0,0,0
165,Mill,38,0,2,0
166,Mill,39,0,0,0
167,Mill,40,0,0,0
168,Mill,41,0,0,0
1,Mill,0,0,0,0
2,Mill,1,0,0,0
3,Mill,2,0,0,0
4,Mill,3,0,0,0
5,Mill,4,0,0,0
6,Mill,5,0,0,0
7,Mill,6,0,0,0
8,Mill,7,0,0,0
9,Mill,8,0,0,0
10,Mill,9,0,0,0
11,Mill,10,0,0,0
12,Mill,11,0,0,0
13,Mill,12,0,0,0
14,Mill,13,0,0,0
15,Mill,14,2,0,0
16,Mill,15,0,0,0
17,Mill,16,0,0,0
18,Mill,17,0,0,0
19,Mill,18,0,0,0
20,Mill,19,0,0,0
21,Mill,20,0,0,0
22,Mill,21,0,0,0
23,Mill,22,0,0,0
24,Mill,23,0,0,0
25,Mill,24,0,0,0
26,Mill,25,0,0,0
27,Mill,26,0,1,0
28,Mill,27,2,3,0
29,Mill,28,0,0,0
30,Mill,29,0,2,0
31,Mill,30,0,1,0
32,Mill,31,0,4,0
33,Mill,32,0,0,0
34,Mill,33,0,0,0
35,Mill,34,0,0,0
36,Mill,35,0,0,0
37,Mill,36,0,1,0
38,Mill,37,0,2,0
39,Mill,38,0,0,0
40,Mill,39,0,0,0
41,Mill,40,0,0,0
42,Mill,41,0,0,0
43,Travel,-21,0,3,0
44,Travel,-20,8,2,0
45,Travel,-19,5,9,0
46,Travel,-18,4,5,0
47,Travel,-17,6,4,0
48,Travel,-16,2,2,0
49,Travel,-15,0,6,0
50,Travel,-14,0,6,0
51,Travel,-13,0,6,0
52,Travel,-12,0,0,0
53,Travel,-11,0,7,0
54,Travel,-10,0,0,0
55,Travel,-9,0,1,0
56,Travel,-8,1,1,0
57,Travel,-7,0,0,0
